Episode Number: 326, Episode Reward: -13.0, Running Mean: -13.527864798047757
Episode Number: 327, Episode Reward: -17.0, Running Mean: -13.562586150067279
Episode Number: 328, Episode Reward: -12.0, Running Mean: -13.546960288566606
Episode Number: 329, Episode Reward: -16.0, Running Mean: -13.57149068568094
Episode Number: 330, Episode Reward: -9.0, Running Mean: -13.52577577882413
Episode Number: 331, Episode Reward: -16.0, Running Mean: -13.550518021035888
Episode Number: 332, Episode Reward: -11.0, Running Mean: -13.525012840825529
Episode Number: 333, Episode Reward: -15.0, Running Mean: -13.539762712417273
Episode Number: 334, Episode Reward: -15.0, Running Mean: -13.554365085293101
Episode Number: 335, Episode Reward: -19.0, Running Mean: -13.60882143444017
Episode Number: 336, Episode Reward: -15.0, Running Mean: -13.622733220095768
Episode Number: 337, Episode Reward: -13.0, Running Mean: -13.61650588789481
Episode Number: 338, Episode Reward: -13.0, Running Mean: -13.610340829015863
Episode Number: 339, Episode Reward: -13.0, Running Mean: -13.604237420725704
Episode Number: 340, Episode Reward: -10.0, Running Mean: -13.568195046518447
Episode Number: 341, Episode Reward: -16.0, Running Mean: -13.592513096053263
Episode Number: 342, Episode Reward: -18.0, Running Mean: -13.63658796509273
Episode Number: 343, Episode Reward: -17.0, Running Mean: -13.670222085441802
Episode Number: 344, Episode Reward: -17.0, Running Mean: -13.703519864587383
Episode Number: 345, Episode Reward: -14.0, Running Mean: -13.70648466594151
Episode Number: 346, Episode Reward: -5.0, Running Mean: -13.619419819282095
Episode Number: 347, Episode Reward: -14.0, Running Mean: -13.623225621089274
Episode Number: 348, Episode Reward: -12.0, Running Mean: -13.606993364878381
Episode Number: 349, Episode Reward: -14.0, Running Mean: -13.610923431229597
Episode Number: 350, Episode Reward: -9.0, Running Mean: -13.5648141969173
Episode Number: 351, Episode Reward: -15.0, Running Mean: -13.579166054948127
Episode Number: 352, Episode Reward: -11.0, Running Mean: -13.553374394398645
Episode Number: 353, Episode Reward: -4.0, Running Mean: -13.457840650454658
Episode Number: 354, Episode Reward: -9.0, Running Mean: -13.413262243950111
Episode Number: 355, Episode Reward: -5.0, Running Mean: -13.32912962151061
Episode Number: 356, Episode Reward: -15.0, Running Mean: -13.345838325295505
Episode Number: 357, Episode Reward: -10.0, Running Mean: -13.312379942042549
Episode Number: 358, Episode Reward: -7.0, Running Mean: -13.249256142622123
Episode Number: 359, Episode Reward: -15.0, Running Mean: -13.266763581195901
Episode Number: 360, Episode Reward: -9.0, Running Mean: -13.224095945383942
Episode Number: 361, Episode Reward: -13.0, Running Mean: -13.221854985930102
Episode Number: 362, Episode Reward: -13.0, Running Mean: -13.219636436070802
Episode Number: 363, Episode Reward: -15.0, Running Mean: -13.237440071710095
Episode Number: 364, Episode Reward: -16.0, Running Mean: -13.265065670992994
Episode Number: 365, Episode Reward: -13.0, Running Mean: -13.262415014283064
Episode Number: 366, Episode Reward: -16.0, Running Mean: -13.289790864140233
Episode Number: 367, Episode Reward: -14.0, Running Mean: -13.296892955498832
Episode Number: 368, Episode Reward: -8.0, Running Mean: -13.243924025943844
Episode Number: 369, Episode Reward: -12.0, Running Mean: -13.231484785684405
Episode Number: 370, Episode Reward: -13.0, Running Mean: -13.229169937827562
Episode Number: 371, Episode Reward: -15.0, Running Mean: -13.246878238449286
Episode Number: 372, Episode Reward: -11.0, Running Mean: -13.224409456064793
Episode Number: 373, Episode Reward: -13.0, Running Mean: -13.222165361504146
Episode Number: 374, Episode Reward: -11.0, Running Mean: -13.199943707889103
Episode Number: 375, Episode Reward: -18.0, Running Mean: -13.247944270810212
Episode Number: 376, Episode Reward: -11.0, Running Mean: -13.225464828102108
